t,stimulus,Vr,Vh,Ve,G,K,Vk,reakcja,Vp,swiadomosc,myslenie,decyzja
0.0,0.0,-0.0489423143142336,0.00025000000000000006,0.0,0.1,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.1,0.0,-0.04050384236547608,0.0004999000000000002,2.000000000000001e-05,0.1,2.5000000000000008e-05,0.00025000000000000006,0.0,0.0,-1.2497500000000008e-08,1.249750000000001e-09,0.0
0.2,0.0,-0.04456778291680707,0.0007497000400000002,3.999200000000002e-05,0.1,4.999000000000002e-05,0.0004999000000000002,0.0,0.0,-3.7477504999600026e-08,4.997500499960004e-09,0.0
0.30000000000000004,0.0,0.005351044203381726,0.0009994001599840003,5.997600320000003e-05,0.1,7.497000400000003e-05,0.0007497000400000002,0.0,0.0,-7.492503399160117e-08,1.2490003899120122e-08,0.0
0.4,0.0,-0.036227217462432335,0.0012490003999200067,7.995201279872003e-05,0.1,9.994001599840004e-05,0.0009994001599840003,0.0,0.0,-1.2482511995001353e-07,2.4972515894121476e-08,0.0
0.5,0.0,-0.03357859270210063,0.0014985007997600388,9.992003199360055e-05,0.1,0.00012490003999200068,0.0012490003999200067,0.0,0.0,-1.8716280981807386e-07,4.3688796875928864e-08,0.0
0.6000000000000001,0.0,0.04961409548824898,0.0017479013994401349,0.00011988006398080312,0.1,0.00014985007997600388,0.0014985007997600388,0.0,0.0,-2.619231644962733e-07,6.988111332555619e-08,0.0
0.7000000000000001,0.0,0.04106996013210644,0.001997202238880359,0.0001398321119552108,0.1,0.0001747901399440135,0.0017479013994401349,0.0,0.0,-3.49091258830395e-07,1.047902392085957e-07,0.0
0.8,0.0,0.06662688693247154,0.002246403357984807,0.00015977617911042876,0.1,0.00019972022388803592,0.001997202238880359,0.0,0.0,-4.486521815995613e-07,1.4965545736855183e-07,0.0
0.9,0.0,0.050285048668348244,0.002495504796641613,0.00017971226863878456,0.1,0.0002246403357984807,0.002246403357984807,0.0,0.0,-5.605910355042912e-07,2.0571456091898096e-07,0.0
